model,dataset,loss,anxiety_mae,anxiety_rmse,sentiment_accuracy,sentiment_f1_macro,sentiment_recall_macro
base,combined_basemodel_test,0.30850725986920624,0.04826589748594128,0.14028142033004265,0.8020022246941045,0.5109360071982729,0.49570527846686757
base,english_lora_test,0.33189353941563976,0.04656751236981816,0.134825788259575,0.7777777777777778,0.5481455278083901,0.536241008570554
lora_english,english_lora_test,0.3250644641944714,0.0544707359208001,0.13943855943075772,0.7933333333333333,0.5648571164522368,0.5633860192837465
base,bengali_lora_test,0.2308115918973559,0.030437583575646084,0.08149255058435895,0.8466666666666667,0.4065124321333472,0.42873983739837396
lora_bengali,bengali_lora_test,0.22169343308594666,0.040041446685791016,0.08874612774053445,0.86,0.4087271162872881,0.42028455284552846
base,chinese_lora_test,0.21548408073814293,0.03740022366245588,0.11401891025189478,0.8666666666666667,0.4969435897435897,0.49361025641025635
lora_chinese,chinese_lora_test,0.21608840784450112,0.039755885700384776,0.11377524230503265,0.86,0.4023188405797101,0.4118769230769231
base,tamil_lora_test,0.21158728925021072,0.050569523249240904,0.16899895976534246,0.8657718120805369,0.4314332629603566,0.4451912568306011
lora_tamil,tamil_lora_test,0.2074066488758514,0.06403024775895062,0.1730694733581975,0.87248322147651,0.4454683506796548,0.47019125683060115
