model,dataset,loss,accuracy,f1,precision,recall
base,english_lora_test,0.4871267420721465,0.8422222222222222,0.511048935264273,0.6522596629257926,0.514717211823281
lora_english,english_lora_test,0.4987728517374088,0.84,0.5063841867769024,0.5499022618208665,0.5158229028801916
base,bengali_lora_test,0.47245791490221845,0.8755555555555555,0.5115038210485261,0.49409642384838337,0.5322906976744186
lora_bengali,bengali_lora_test,0.47282941408198453,0.8822222222222222,0.5154577304402982,0.49706431330959777,0.5379573643410853
base,chinese_lora_test,0.4295863247123258,0.8622222222222222,0.5657605387663134,0.6643705379232345,0.5725993438881757
lora_chinese,chinese_lora_test,0.4207430137642499,0.8644444444444445,0.6103772846943719,0.8637548215162354,0.6036787089675408
base,tamil_lora_test,0.49686930052422246,0.84,0.4674090389494522,0.46332251082251086,0.47323141581297606
lora_tamil,tamil_lora_test,0.4972235029242162,0.8422222222222222,0.4711817690506216,0.4617919432011113,0.4828778565799842
