model,dataset,accuracy,f1,precision,recall
base,english_lora_test,0.8788888888888889,0.6715322658835939,0.6979248054780397,0.6630292918361099
lora_english,english_lora_test,0.8833333333333333,0.681564456487014,0.6945515257257282,0.6805138232979143
base,bengali_lora_test,0.92,0.5730662329330004,0.5591269841269841,0.5907763891688503
lora_bengali,bengali_lora_test,0.9266666666666666,0.5746481501858153,0.5653865847414234,0.5847369002025322
base,chinese_lora_test,0.9266666666666666,0.6340274134467683,0.7044986788760169,0.6316464610658158
lora_chinese,chinese_lora_test,0.9233333333333333,0.5664383069011399,0.5637053115290781,0.5732655086848635
base,tamil_lora_test,0.92,0.5816867649910646,0.5744327087368196,0.5915139034698108
lora_tamil,tamil_lora_test,0.9233333333333333,0.5917118276477062,0.5796275139316248,0.6093710463269536
